Cifras oficiales de población de los municipios españoles en aplicación de la Ley de Bases del Régimen Local (Art. 17);;;;;;;;;;;;;;;;;;;;;;;;;;;
Detalle municipal;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Badajoz: Población por municipios y sexo. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades:   Personas;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Total;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
06001 Acedera;802;814;816;820;826;807;798;818;823;816;831;826;810;823;818;821;833;842;846;859;870;904;897;942;969;995;1.001
06002 Aceuchal;5.404;5.446;5.456;5.467;5.478;5.449;5.461;5.436;5.485;5.471;5.538;5.566;5.702;5.717;5.723;5.679;5.657;5.583;5.518;5.422;5.368;5.322;5.344;5.285;5.304;5.240;5.240
06003 Ahillones;784;797;826;851;863;871;893;914;934;960;990;989;998;1.007;1.032;1.052;1.058;1.064;1.084;1.107;1.113;1.124;1.158;1.168;1.200;1.211;1.227
06004 Alange;1.808;1.831;1.844;1.850;1.856;1.848;1.880;1.891;1.915;1.914;1.946;1.952;1.971;1.994;2.013;2.005;2.019;2.033;2.035;2.020;2.020;2.021;2.038;2.063;2.057;2.063;2.035
06005 La Albuera;1.992;2.002;2.014;2.026;2.035;2.028;2.029;2.024;2.031;2.046;2.029;2.069;2.078;2.051;2.030;1.986;1.972;1.856;1.833;1.820;1.797;1.797;1.799;1.796;1.804;1.789;1.788
06006 Alburquerque;4.998;5.063;5.144;5.245;5.293;5.343;5.340;5.371;5.436;5.486;5.524;5.544;5.587;5.619;5.678;5.704;5.783;5.805;5.656;5.639;5.616;5.614;5.622;5.605;5.645;5.660;5.660
06007 Alconchel;1.626;1.634;1.644;1.654;1.659;1.680;1.704;1.717;1.750;1.790;1.840;1.866;1.873;1.894;1.932;1.951;1.966;1.970;1.979;2.000;1.984;1.986;2.042;2.069;2.106;2.153;2.153
06008 Alconera;756;758;750;744;743;744;730;738;756;747;743;746;744;736;728;737;739;735;741;747;749;725;737;731;721;734;746
06009 Aljucén;255;261;243;250;250;264;245;242;249;240;230;245;248;255;242;252;240;241;245;247;243;239;260;260;255;245;230
06010 Almendral;1.197;1.195;1.207;1.223;1.239;1.232;1.240;1.262;1.282;1.296;1.312;1.319;1.286;1.308;1.312;1.307;1.311;1.273;1.316;1.361;1.352;1.377;1.404;1.455;1.478;1.499;1.516
06011 Almendralejo;34.284;33.948;33.669;33.741;33.855;33.474;33.468;33.540;34.543;34.265;35.014;35.101;34.694;34.319;33.975;33.588;33.177;31.072;30.741;29.889;29.132;28.595;28.030;27.806;27.610;27.554;27.443
06012 Arroyo de San Serván;4.061;4.038;4.054;4.081;4.080;4.107;4.126;4.167;4.159;4.175;4.195;4.258;4.267;4.253;4.274;4.276;4.283;4.184;4.138;4.083;3.995;3.926;3.922;3.938;3.970;3.994;3.994
06013 Atalaya;258;278;285;288;294;301;293;294;298;302;308;312;319;321;330;338;329;339;340;336;344;350;353;366;369;372;374
06014 Azuaga;7.595;7.624;7.636;7.702;7.747;7.853;7.891;7.984;8.008;8.031;8.145;7.959;8.205;8.273;8.303;8.301;8.396;8.501;8.536;8.611;8.320;8.402;8.580;8.745;8.735;8.924;9.091
06015 Badajoz;150.570;150.190;150.146;150.610;150.984;150.702;150.530;150.543;149.946;149.892;150.517;150.621;152.270;151.565;150.376;148.334;146.832;145.257;143.748;143.019;139.135;138.415;136.851;136.319;136.136;136.613;134.710
06 Badajoz (Provincia);664.970;665.089;666.971;669.943;672.137;673.559;676.376;679.884;684.113;686.730;690.929;693.729;694.533;693.921;692.137;688.777;685.246;678.459;673.474;671.299;663.896;663.142;662.808;664.251;661.874;664.625;663.803
06016 Barcarrota;3.473;3.452;3.445;3.498;3.483;3.510;3.580;3.608;3.621;3.634;3.631;3.683;3.692;3.708;3.709;3.698;3.726;3.664;3.518;3.627;3.660;3.675;3.616;3.717;3.742;3.706;3.744
06017 Baterno;238;243;248;258;266;283;293;305;310;318;323;326;335;346;355;352;362;355;354;362;366;375;389;396;403;404;411
06018 Benquerencia de la Serena;789;783;808;808;812;829;841;849;865;888;903;904;925;933;938;948;979;979;972;972;969;972;980;1.019;1.033;1.075;1.075
06019 Berlanga;2.214;2.219;2.241;2.306;2.331;2.343;2.360;2.386;2.412;2.434;2.456;2.458;2.486;2.474;2.486;2.484;2.511;2.546;2.564;2.616;2.612;2.580;2.637;2.697;2.694;2.721;2.716
06020 Bienvenida;2.021;2.031;2.070;2.087;2.081;2.087;2.128;2.149;2.211;2.218;2.254;2.247;2.275;2.319;2.332;2.326;2.324;2.343;2.336;2.349;2.365;2.361;2.350;2.364;2.364;2.375;2.366
06021 Bodonal de la Sierra;993;1.001;1.008;1.017;1.036;1.049;1.052;1.060;1.070;1.081;1.093;1.098;1.135;1.137;1.162;1.139;1.146;1.143;1.176;1.174;1.183;1.197;1.208;1.239;1.265;1.264;1.280
06022 Burguillos del Cerro;2.970;3.015;3.047;3.076;3.066;3.057;3.085;3.090;3.132;3.179;3.204;3.280;3.255;3.296;3.314;3.286;3.278;3.238;3.143;3.196;3.183;3.193;3.243;3.310;3.321;3.340;3.346
06023 Cabeza del Buey;4.526;4.583;4.682;4.732;4.808;4.864;4.929;5.015;5.065;5.138;5.234;5.354;5.338;5.365;5.395;5.411;5.499;5.620;5.559;5.648;5.691;5.809;5.957;6.003;5.982;6.071;6.067
06024 Cabeza la Vaca;1.255;1.272;1.296;1.298;1.298;1.309;1.331;1.345;1.366;1.391;1.403;1.417;1.430;1.440;1.463;1.479;1.499;1.521;1.542;1.579;1.575;1.601;1.610;1.631;1.646;1.655;1.666
06025 Calamonte;6.120;6.095;6.115;6.152;6.170;6.162;6.241;6.260;6.255;6.330;6.354;6.360;6.361;6.308;6.284;6.178;6.155;6.095;6.084;6.128;6.115;6.108;6.136;6.104;6.002;6.008;6.003
